Recipe Name,Calories,Personal Points,Image URL,Recipe Keys,Summary,URL
Strawberry Banana Smoothie,Cals:415,5,https://www.skinnytaste.com/wp-content/uploads/2025/06/Strawberry-Banana-Smoothie-4-2.jpg,"DF, GF, HP, HF, MP, Q, V","A quick and creamy strawberry banana smoothie with over 39g protein and 9g fiber. Made with banana, strawberries, flax, and protein powder—ready in 5 minutes!",https://www.skinnytaste.com/strawberry-banana-smoothie/
Tuna Melt,Cals:231,5,https://www.skinnytaste.com/wp-content/uploads/2020/05/Tuna-Melt-5.jpg,"DF, GF, KF, MP, Q","This healthy, high-protein tuna melt recipe is served open-face and loaded with veggies and melty cheese. Made with canned tuna, it’s quick, easy, and perfect for lunch or a light dinner.",https://www.skinnytaste.com/skinny-tuna-melt/
Beet Salad (Perfect for Summer BBQs),Cals:65,1,https://www.skinnytaste.com/wp-content/uploads/2010/06/Red-Beet-Salad-7.jpg,"GF, LC, V","Creamy beet salad recipe made with tender red beets, carrots, mayo, and fresh cilantro. Light, refreshing, and the perfect make-ahead side for BBQs, potlucks, or weeknight dinners—even beet skeptics will love it!",https://www.skinnytaste.com/red-beet-salad/
Sourdough Discard Banana Bread,Cals:110,5,https://www.skinnytaste.com/wp-content/uploads/2025/06/Sourdough-Banana-Bread-21.jpg,V,"Moist, tender, and just sweet enough—this sourdough discard banana bread is the perfect way to use up sourdough discard and ripe bananas. A snack the whole family will love.",https://www.skinnytaste.com/sourdough-discard-banana-bread/
Miso Salmon Skewers with Zucchini and Scallions,Cals:231,2,https://www.skinnytaste.com/wp-content/uploads/2025/05/Miso-Salmon-Skewers-21.jpg,"DF, GF, HP, LC",Savory-sweet miso salmon skewers with zucchini and scallions—perfect for grilling and easy weeknight dinners.,https://www.skinnytaste.com/miso-salmon-skewers-with-zucchini-and-scallions/
Chicken Scampi,Cals:482.5,8,https://www.skinnytaste.com/wp-content/uploads/2025/05/Chicken-Scampi-8.jpg,"GF, HP, KF, Q","This Chicken Scampi recipe is a light, family-friendly weeknight dinner that's high in protein and ready in under 30 minutes.",https://www.skinnytaste.com/chicken-scampi/
Mango Lassi,Cals:139,6,https://www.skinnytaste.com/wp-content/uploads/2009/05/Mango-Lassi-14.jpg,"GF, Q, V","Mango lassi is a healthy, sweet Indian beverage made with fresh mango, Greek yogurt and milk. I used fat-free yogurt to keep it light. A great high-protein snack!",https://www.skinnytaste.com/mango-lassi/
Instant Pot Shredded Chicken,Cals:273.5,0,https://www.skinnytaste.com/wp-content/uploads/2025/05/Instant-Pot-Shredded-Chicken-4.jpg,"DF, FM, GF, HP, LC, MP, W","Instant Pot Shredded Chicken is the quickest method to make shredded chicken, perfect for meal prep or make chicken salad, tacos, enchiladas, bowls, etc.",https://www.skinnytaste.com/instant-pot-shredded-chicken/
Free 7 Day Healthy Meal Plan (May 26-June 1),,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Week_490_May-26-June-1.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-may-26-june-1/
"High Protein Egg Salad (Low Calorie, Lower Fat)",Cals:244,2,https://www.skinnytaste.com/wp-content/uploads/2011/04/Half-Yolk-Egg-Salad-8.jpg,"AF, DF, GF, HP, LC, MP, Q, V, W","This healthy, high protein egg salad is creamy and full of fresh flavor—made lighter by using just half the yolks. It’s perfect over toasted bread, tucked into a wrap or pita, or enjoyed on its own for a satisfying, low-calorie meal.",https://www.skinnytaste.com/skinny-low-yolk-egg-salad/
Grilled Chimichurri Steak (Flank Steak),Cals:232,2,https://www.skinnytaste.com/wp-content/uploads/2015/05/Grilled-Flank-Steak-with-Chimichurri-9.jpg,"DF, GF, LC, Q, W","Chimichurri Steak is my go-to summer recipe—grilled flank steak topped with a fresh, zesty herb sauce that’s bursting with flavor!",https://www.skinnytaste.com/grilled-flank-steak-with-chimichurri/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Week_489_May-19-May-25_HP.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-19/
Mediterranean Couscous Salad with Grilled Vegetables,Cals:212,5,https://www.skinnytaste.com/wp-content/uploads/2025/05/Grilled-Vegetable-Couscous-Salad-13.jpg,"HF, MP, V","Mostly grilled veggies, this Mediterranean couscous salad is tossed in a creamy basil lemon feta dressing.",https://www.skinnytaste.com/mediterranean-couscous-salad/
Strawberry Crostini,Cals:101,3,https://www.skinnytaste.com/wp-content/uploads/2025/05/Strawberry-and-Mint-Crostini-13.jpg,"Q, V","Strawberry Mint Crostini are light, fresh, and easy to prepare—made with creamy ricotta, sweet strawberries, and fresh mint on crisp toasted bread.",https://www.skinnytaste.com/strawberry-crostini/
No-Bake Yogurt Pie with Date-Nut Crust,Cals:251,7,https://www.skinnytaste.com/wp-content/uploads/2025/05/No-Bake-Pie-11.jpg,"GF, V","Creamy no-bake Greek Yogurt Pie with a vanilla bean filling and naturally sweetened date-nut crust. Light, refreshing, and topped with berries—perfect for summer!",https://www.skinnytaste.com/yogurt-pie-with-date-nut-crust/
Blue Cheese Dressing Recipe,Cals:52,2,https://www.skinnytaste.com/wp-content/uploads/2010/04/Low-Fat-Creamy-Blue-Cheese-Dressing-8.jpg,"GF, LC, MP, Q, V","This light Blue Cheese Dressing is made with Greek yogurt and no buttermilk. It’s creamy, tangy, and takes just minutes to make—perfect for wings, salads, or dipping veggies.",https://www.skinnytaste.com/low-fat-creamy-blue-cheese-dressing/
Balsamic Chicken Marinade,Cals:65.5,3,https://www.skinnytaste.com/wp-content/uploads/2025/05/Balsamic-Chicken-Marinade-21.jpg,"AF, DF, FM, GF, HP, MP","This Balsamic Chicken Marinade is perfect for 1 to 1½ pounds of chicken—breasts, cutlets, thighs, drumsticks, or kabobs. Easily double the recipe for larger portions.",https://www.skinnytaste.com/balsamic-chicken-marinade/
Free 7 Day Healthy Meal Plan (May 12-18),,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Week_488_May-12-May-18.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-may-12-18/
Crispy Salmon Spring Rolls,Cals:353.5,6,https://www.skinnytaste.com/wp-content/uploads/2025/04/Salmon-Spring-Rolls-13.jpg,"DF, GF","Golden and crispy on the outside, tender and juicy inside—these gluten-free salmon spring rolls are pan-seared to perfection.",https://www.skinnytaste.com/salmon-spring-rolls/
Cucumber Melon Salad,Cals:121,4,https://www.skinnytaste.com/wp-content/uploads/2025/04/Cucumber-and-Melon-Salad-11.jpg,"GF, Q, V","Cool and refreshing, this Cucumber Melon Salad is a great summer side dish for anything you're grilling.",https://www.skinnytaste.com/cucumber-melon-salad/
Tortellini Pasta Salad,Cals:192,6,https://www.skinnytaste.com/wp-content/uploads/2022/08/Tortellini-Salad-8.jpg,,Chilled tortellini pasta salad with veggies and homemade vinaigrette—perfect for BBQs and easy to make ahead.,https://www.skinnytaste.com/tortellini-salad/
Chicken Tikka Kebab,Cals:230,1,https://www.skinnytaste.com/wp-content/uploads/2025/04/Chicken-Tikka-Kabobs-15.jpg,"GF, HP, LC","Chicken Tikka Kebabsare juicy, flavorful skewers of marinated chicken with yogurt and Indian spices—perfect for the grill, oven, or air fryer.",https://www.skinnytaste.com/chicken-tikka-kebab/
Turmeric Basmati Rice with Peas,Cals:207.5,6,https://www.skinnytaste.com/wp-content/uploads/2025/05/Turmeric-Basmati-Rice-10.jpg,"DF, GF, Q, V","Golden, fluffy, turmeric basmati rice with peas is an easy side that's perfect with your favorite Indian dishes like curries or grilled meats, ready in under 30 minutes!",https://www.skinnytaste.com/turmeric-basmati-rice/
Air Fryer Asparagus Recipe,Cals:91,2,https://www.skinnytaste.com/wp-content/uploads/2025/04/Air-Fryer-Asparagus-9.jpg,"AF, DF, GF, HF, LC, V","Crisp-tender air fryer asparagus tossed in a zesty red wine Dijon vinaigrette—simple, healthy, and full of flavor.",https://www.skinnytaste.com/air-fryer-asparagus/
Asian Chicken Salad with Chili Crisp Dressing,Cals:371,6,https://www.skinnytaste.com/wp-content/uploads/2025/04/Crispy-Asian-Chicken-Salad-13.jpg,"DF, GF, HP, MP","This Asian Chicken Salad is loaded with chicken, Napa cabbage, mandarin oranges, avocado, and crispy wontons tossed in a spicy chili crisp dressing. Perfect for meal prep!",https://www.skinnytaste.com/asian-chicken-salad/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/05/Week_487_May-5-May-11_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-18/
Air Fryer Salmon Recipes,,,https://www.skinnytaste.com/wp-content/uploads/2022/10/Blackended-Air-Fryer-Salmon-Bites-6-copy.jpg,AF,"This sweet and savory salmon recipe is perfect for busy weeknights—quick, flavorful, and satisfying in every bite.",https://www.skinnytaste.com/air-fryer-salmon-recipes/
Pineapple Chicken Stir Fry,Cals:276,7,https://www.skinnytaste.com/wp-content/uploads/2011/06/Thai-Chicken-and-Pineapple-Stir-Fry-14.jpg,"GF, Q","Thai Pineapple Chicken Stir Fry with juicy pineapple, bell peppers, and chicken breast in a sweet, spicy, and savory sauce.",https://www.skinnytaste.com/thai-chicken-and-pineapple-stir-fry/
Sourdough Discard Waffles,Cals:135,4,https://www.skinnytaste.com/wp-content/uploads/2024/12/Sourdough-Discard-Waffles-13.jpg,"FM, KF, MP, V","These light sourdough discard waffles are golden, fluffy, and a fantastic way to use your sourdough discard.",https://www.skinnytaste.com/sourdough-discard-waffles/
BBQ Chicken Recipe,Cals:267,7,https://www.skinnytaste.com/wp-content/uploads/2023/07/BBQ-Chicken-7.jpg,"DF, HP, LC","An easy, 5-ingredient BBQ Chicken recipe comes out juicy, beautifully charred, and perfect for summer dinner!",https://www.skinnytaste.com/bbq-chicken/
Lentil Tacos (Vegan),Cals:291,4,https://www.skinnytaste.com/wp-content/uploads/2025/04/Lentil-Tacos-18.jpg,"DF, FM, GF, HF, MP, V","Easy vegan lentil tacos packed with bold Tex-Mex flavor, fiber, and plant-based protein — perfect for meal prep and taco night!",https://www.skinnytaste.com/lentil-tacos/
Zesty Lime Crab Salad,Cals:146,4,https://www.skinnytaste.com/wp-content/uploads/2025/04/Crab-Salad-11.jpg,"DF, MP","Quick, refreshing, and full of flavor—this crab salad is my aunt’s go-to for summer get-togethers.",https://www.skinnytaste.com/crab-salad-with-bell-peppers-and-lime/
Free 7 Day Healthy Meal Plan (April 28-May 4),,,https://www.skinnytaste.com/wp-content/uploads/2025/04/Week_486_April-28-May-4.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-april-28-may-4/
Strawberry Crisp,Cals:185,7,https://www.skinnytaste.com/wp-content/uploads/2018/03/Strawberry-Crisp-11.jpg,"DF, GF, KF","Healthy strawberry crisp recipe with a gluten-free, grain-free, nutty topping—perfectly portioned into individual servings.",https://www.skinnytaste.com/strawberry-crisp/
Slow Cooker Birria Tacos Recipe,Cals:394,7,https://www.skinnytaste.com/wp-content/uploads/2025/04/Slow-Cooker-Birria-Taco-12.jpg,"FM, GF, HP, SC","This easy slow cooker birria tacos recipe delivers tender beef, crispy tortillas, and rich consommé—perfect for a hands-off taco night!",https://www.skinnytaste.com/slow-cooker-birria-tacos-recipe/
Quick Marinara Sauce,Cals:53,0,https://www.skinnytaste.com/wp-content/uploads/2011/09/Quick-Marinara-Sauce-14.jpg,"DF, GF, KF, Q, V, W","Easy marinara sauce made with pantry staples—ready in under 20 minutes and perfect for pasta, pizza, or dipping. Yields 3 cups and easily doubles.",https://www.skinnytaste.com/quick-marinara-sauce/
Turkey Burger Recipe,Cals:351,4,https://www.skinnytaste.com/wp-content/uploads/2023/06/turkey-burgers-2.jpg,"DF, HP, KF, MP, Q","A healthy twist on a classic—these turkey burgers are quick to make, packed with flavor, and always turn out juicy. Great for weeknights or summer grilling.",https://www.skinnytaste.com/turkey-burger-recipe/
Chicken Pozole Verde,Cals:241,3,https://www.skinnytaste.com/wp-content/uploads/2025/02/Green-Chicken-Pozole-3.jpg,"DF, FM, GF, HP, HF, MP","Chicken Pozole Verde is a hearty soup made with shredded chicken, roasted tomatillos, cilantro, and chiles. Add your favorite toppings!",https://www.skinnytaste.com/chicken-pozole-verde/
Greek Whipped Cottage Cheese Dip,Cals:151.5,5,https://www.skinnytaste.com/wp-content/uploads/2025/04/Greek-Whipped-Cottage-Cheese-Dip-13.jpg,"GF, HP, LC, MP, Q, V","This Greek Whipped Cottage Cheese Dip is your new go-to high-protein snack or appetizer, topped with fresh cucumbers, tomatoes, kalamata olives, and a drizzle of olive oil.",https://www.skinnytaste.com/whipped-cottage-cheese-dip/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/04/Week_485_April-21-April-27_High-Protein.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-17/
Free 7 Day Healthy Meal Plan (April 14-20),,,https://www.skinnytaste.com/wp-content/uploads/2025/04/Week_484_April-14-April-20.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-april-14-20/
Baked Risotto,Cals:227,7,https://www.skinnytaste.com/wp-content/uploads/2025/04/Baked-Risotto-with-Asparagus-and-Peas-11.jpg,"GF, HF, V","This easy oven Baked Risotto with asparagus and peas cooks right in the oven, no standing at the stove required! Delicious, perfectly creamy and full of spring flavor.",https://www.skinnytaste.com/baked-risotto/
Cioppino,Cals:265,2,https://www.skinnytaste.com/wp-content/uploads/2025/04/Cioppino-9.jpg,"DF, GF, HP",Cioppino is a San Francisco–style seafood stew made with a mix of shellfish and fish simmered in a rich tomato and wine broth.,https://www.skinnytaste.com/cioppino/
Spiral Ham,Cals:130,6,https://www.skinnytaste.com/wp-content/uploads/2025/04/Spiral-Ham-with-Orange-and-Clove-21.jpg,"DF, GF, HP, LC","This Easter spiral ham is a classic with a fresh twist—glazed with just four ingredients: fresh orange, cloves, Dijon, and honey. Also great for Christmas or any holiday!",https://www.skinnytaste.com/spiral-ham/
Sourdough Bread Recipe,Cals:72,2,https://www.skinnytaste.com/wp-content/uploads/2025/04/Sourdough-Bread-25.jpg,DF,"This easy sourdough bread recipe is perfect for beginners—no autolyse, no lamination folds, just simple steps and delicious results. Here’s the perfect sourdough bread I’ve been making every week!",https://www.skinnytaste.com/sourdough-bread-recipe/
Green Goddess Garden Dip,Cals:83.5,2,https://www.skinnytaste.com/wp-content/uploads/2025/03/green-goddess-garden-6.jpg,"GF, LC, V","Green Goddess Garden Dip is a lightened-up green goddess dip made with fresh herbs, a playful ""dirt"" topping and mini edible veggie patch.",https://www.skinnytaste.com/green-goddess-garden-dip/
Baked Cod,Cals:213.5,1,https://www.skinnytaste.com/wp-content/uploads/2025/03/Baked-Cod-6.jpg,"DF, GF, HP, LC","Baked Cod with Cherry Tomatoes, Fennel, and Capers – a Mediterranean-inspired dish that’s light, flavorful, and ready in under 30 minutes.",https://www.skinnytaste.com/baked-cod/
Chicken Fajitas,Cals:299,4,https://www.skinnytaste.com/wp-content/uploads/2013/05/Chicken-Fajitas-11.jpg,"GF, HF, KF","An easy, healthy chicken fajita recipe made with grilled chicken breast, bell peppers and onions served sizzling hot with tortillas and cheese!",https://www.skinnytaste.com/chicken-fajitas-45-pts/
Free 7 Day Healthy Meal Plan (March 31-April 6),,,https://www.skinnytaste.com/wp-content/uploads/2025/03/Week_482_Mar-31-April-6.jpg,,"A free 7-day, flexible weight loss meal plan includingbreakfast,lunchanddinnerideas and a shopping list. All recipes include macros andWeight Watcherspoints.",https://www.skinnytaste.com/free-7-day-healthy-meal-plan-march-31-april-6/
7 Day High Protein Diet Meal Plan,,,https://www.skinnytaste.com/wp-content/uploads/2025/04/Week_483_April-7-April-13_High-Protein_Rev.jpg,,"A free, 7-dayhigh proteindiet meal plan includingbreakfast,lunchanddinner ideasand a shopping list. All recipes includemacrosandWeight Watcherspoints.",https://www.skinnytaste.com/7-day-high-protein-diet-meal-plan-16/
